model_name,file_path,strategy,declared_unique_key,matched_condition,incremental_predicates,not_matched_by_source_action,merge_exclude_columns,on_schema_change,full_refresh_config,servingdb_sync,parent_models,source_relations,documented_grain,authoritative_watermark_expr,lookback,delete_mode,validation_category,evidence_status,notes
fct_payor__claims,models/healthcare/payor/gold/fct_payor__claims.sql,merge,claim_line_release_key,,,,,append_new_columns,False,,int_payor__payor_alpha_claims_normalized,,claim_line_release_key,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=1703163, null_pk=0, dup=0"
fct_provider_bonus,models/provider_bonus/facts/fct_provider_bonus.sql,merge,provider_id,"COALESCE(t.composite_payout_pct, -1) <> COALESCE(s.composite_payout_pct, -1) OR COALESCE(t.ytd_payout, -1) <> COALESCE(s.ytd_payout, -1) OR COALESCE(t.annual_bonus_amount, -1) <> COALESCE(s.annual_bonus_amount, -1) OR COALESCE(t.productivity_multiplier, -1) <> COALESCE(s.productivity_multiplier, -1) OR COALESCE(t.vu_utilization_pct, -1) <> COALESCE(s.vu_utilization_pct, -1) OR COALESCE(t.q1_payout, -1) <> COALESCE(s.q1_payout, -1) OR COALESCE(t.q2_payout, -1) <> COALESCE(s.q2_payout, -1) OR COALESCE(t.q3_payout, -1) <> COALESCE(s.q3_payout, -1) OR COALESCE(t.q4_payout, -1) <> COALESCE(s.q4_payout, -1) OR COALESCE(t.quality_composite_score, -1) <> COALESCE(s.quality_composite_score, -1) OR COALESCE(t.quality_payout_pct, -1) <> COALESCE(s.quality_payout_pct, -1) OR COALESCE(t.quality_tier, '') <> COALESCE(s.quality_tier, '') OR COALESCE(t.nps_score, -1) <> COALESCE(s.nps_score, -1) OR COALESCE(t.nps_responses, -1) <> COALESCE(s.nps_responses, -1) OR COALESCE(t.nps_payout_pct, -1) <> COALESCE(s.nps_payout_pct, -1) OR COALESCE(t.nps_tier, '') <> COALESCE(s.nps_tier, '') OR COALESCE(t.awv_rate, -1) <> COALESCE(s.awv_rate, -1) OR COALESCE(t.awv_numerator, -1) <> COALESCE(s.awv_numerator, -1) OR COALESCE(t.awv_denominator, -1) <> COALESCE(s.awv_denominator, -1) OR COALESCE(t.awv_payout_pct, -1) <> COALESCE(s.awv_payout_pct, -1) OR COALESCE(t.awv_tier, '') <> COALESCE(s.awv_tier, '') OR COALESCE(t.next_visit_rate, -1) <> COALESCE(s.next_visit_rate, -1) OR COALESCE(t.next_visit_numerator, -1) <> COALESCE(s.next_visit_numerator, -1) OR COALESCE(t.next_visit_denominator, -1) <> COALESCE(s.next_visit_denominator, -1) OR COALESCE(t.next_visit_payout_pct, -1) <> COALESCE(s.next_visit_payout_pct, -1) OR COALESCE(t.next_visit_tier, '') <> COALESCE(s.next_visit_tier, '') OR COALESCE(t.hcc_rate, -1) <> COALESCE(s.hcc_rate, -1) OR COALESCE(t.hcc_denominator, -1) <> COALESCE(s.hcc_denominator, -1) OR COALESCE(t.hcc_payout_pct, -1) <> COALESCE(s.hcc_payout_pct, -1) OR COALESCE(t.hcc_tier, '') <> COALESCE(s.hcc_tier, '') OR COALESCE(t.is_bonus_eligible, false) <> COALESCE(s.is_bonus_eligible, false) OR COALESCE(t.is_display_eligible, false) <> COALESCE(s.is_display_eligible, false) OR COALESCE(t.is_eligible_q1, false) <> COALESCE(s.is_eligible_q1, false) OR COALESCE(t.is_eligible_q2, false) <> COALESCE(s.is_eligible_q2, false) OR COALESCE(t.is_eligible_q3, false) <> COALESCE(s.is_eligible_q3, false) OR COALESCE(t.is_eligible_q4, false) <> COALESCE(s.is_eligible_q4, false) OR COALESCE(t.proration_q1, -1) <> COALESCE(s.proration_q1, -1) OR COALESCE(t.proration_q2, -1) <> COALESCE(s.proration_q2, -1) OR COALESCE(t.proration_q3, -1) <> COALESCE(s.proration_q3, -1) OR COALESCE(t.proration_q4, -1) <> COALESCE(s.proration_q4, -1) OR COALESCE(t.annual_bonus_potential, -1) <> COALESCE(s.annual_bonus_potential, -1) OR COALESCE(t.fte_pct, -1) <> COALESCE(s.fte_pct, -1) OR COALESCE(t.employment_type, '') <> COALESCE(s.employment_type, '') OR COALESCE(t.assigned_clinic, '') <> COALESCE(s.assigned_clinic, '') OR COALESCE(t.clinic_standardized, '') <> COALESCE(s.clinic_standardized, '') OR COALESCE(t.is_float_provider, false) <> COALESCE(s.is_float_provider, false) OR COALESCE(t.provider_type, '') <> COALESCE(s.provider_type, '') OR COALESCE(t.type_category, '') <> COALESCE(s.type_category, '') OR COALESCE(t.is_site_leader, false) <> COALESCE(s.is_site_leader, false) OR COALESCE(t.termination_date, DATE'1900-01-01') <> COALESCE(s.termination_date, DATE'1900-01-01') -- Freshness hardening: these columns can change independently of every -- payout/metric column above, so without them the MERGE would skip the -- row and leave them stale. is_inactive_60d is time-relative (a provider -- crossing the 60-day grace window — used to filter the roster) and the -- quality split scores/payouts are export columns (EXT-1 / DEV-4105/4104); -- the rest are roster identity fields that can be corrected upstream. OR COALESCE(t.is_inactive_60d, false) <> COALESCE(s.is_inactive_60d, false) OR COALESCE(t.last_termination_date, DATE'1900-01-01') <> COALESCE(s.last_termination_date, DATE'1900-01-01') OR COALESCE(t.quality_individual_score, -1) <> COALESCE(s.quality_individual_score, -1) OR COALESCE(t.quality_practice_score, -1) <> COALESCE(s.quality_practice_score, -1) OR COALESCE(t.quality_individual_payout_pct, -1) <> COALESCE(s.quality_individual_payout_pct, -1) OR COALESCE(t.quality_practice_payout_pct, -1) <> COALESCE(s.quality_practice_payout_pct, -1) OR COALESCE(t.provider_name, '') <> COALESCE(s.provider_name, '') OR COALESCE(t.npi, '') <> COALESCE(s.npi, '') OR COALESCE(t.hire_date, DATE'1900-01-01') <> COALESCE(s.hire_date, DATE'1900-01-01') OR COALESCE(t.fte_hours, -1) <> COALESCE(s.fte_hours, -1) OR COALESCE(t.is_contractor, false) <> COALESCE(s.is_contractor, false) OR COALESCE(t.is_locum_tenens, false) <> COALESCE(s.is_locum_tenens, false)",,,,append_new_columns,False,,stg_bonus__provider_roster;int_bonus__quality_composite;int_bonus__nps_score;int_bonus__awv_rate;int_bonus__next_visit_rate;int_bonus__hcc_assessment_rate;int_bonus__productivity_multiplier;stg_bonus__quality_measures;stg_bonus__appointments;stg_bonus__nps_surveys;stg_bonus__hcc_assessments,,provider_id,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=28, null_pk=0, dup=0"
fct_provider_bonus_detail,models/provider_bonus/facts/fct_provider_bonus_detail.sql,merge,metric_type;record_id,"t.met_criteria is distinct from s.met_criteria OR COALESCE(t.criteria_detail, '') <> COALESCE(s.criteria_detail, '') OR COALESCE(t.event_description, '') <> COALESCE(s.event_description, '') OR COALESCE(t.metric_current_value, -1) <> COALESCE(s.metric_current_value, -1) OR COALESCE(t.metric_payout_pct, -1) <> COALESCE(s.metric_payout_pct, -1) OR COALESCE(t.provider_composite_pct, -1) <> COALESCE(s.provider_composite_pct, -1) OR COALESCE(t.clinic_name, '') <> COALESCE(s.clinic_name, '') OR COALESCE(t.last_visit_date, DATE '1900-01-01') <> COALESCE(s.last_visit_date, DATE '1900-01-01') OR COALESCE(t.next_visit_date, DATE '1900-01-01') <> COALESCE(s.next_visit_date, DATE '1900-01-01') OR COALESCE(t.last_appointment_type, '') <> COALESCE(s.last_appointment_type, '') OR COALESCE(t.next_appointment_type, '') <> COALESCE(s.next_appointment_type, '')",,,,append_new_columns,False,,stg_bonus__provider_roster;appointments;fct_provider_bonus;audit_bonus__encounter_detail;audit_bonus__nps_survey_detail;audit_bonus__quality_patient_detail;int_bonus__hcc_hierarchy_applied;stg_bonus__quality_measures;stg_bonus__appointments;stg_bonus__nps_surveys;stg_bonus__hcc_assessments,,metric_type + record_id,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=85175, null_pk=0, dup=0"
fct_provider_bonus_quarterly_payout,models/provider_bonus/facts/fct_provider_bonus_quarterly_payout.sql,merge,provider_id;snapshot_quarter,"COALESCE(t.composite_payout_pct, -1) <> COALESCE(s.composite_payout_pct, -1) OR COALESCE(t.awv_rate, -1) <> COALESCE(s.awv_rate, -1) OR COALESCE(t.base_quarterly_payout, -1) <> COALESCE(s.base_quarterly_payout, -1) OR COALESCE(t.quality_payout_pct, -1) <> COALESCE(s.quality_payout_pct, -1) OR COALESCE(t.nps_payout_pct, -1) <> COALESCE(s.nps_payout_pct, -1) OR COALESCE(t.hcc_payout_pct, -1) <> COALESCE(s.hcc_payout_pct, -1)",,,,append_new_columns,False,,fct_provider_bonus_snapshot;stg_bonus__provider_roster,,provider_id + snapshot_quarter,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=22, null_pk=0, dup=0"
fct_provider_bonus_snapshot,models/provider_bonus/facts/fct_provider_bonus_snapshot.sql,merge,provider_id;snapshot_date,"COALESCE(t.awv_rate, -1) <> COALESCE(s.awv_rate, -1) OR COALESCE(t.next_visit_rate, -1) <> COALESCE(s.next_visit_rate, -1) OR COALESCE(t.nps_score, -1) <> COALESCE(s.nps_score, -1) OR COALESCE(t.hcc_rate, -1) <> COALESCE(s.hcc_rate, -1) OR COALESCE(t.quality_composite_score, -1) <> COALESCE(s.quality_composite_score, -1) OR COALESCE(t.composite_payout_pct, -1) <> COALESCE(s.composite_payout_pct, -1)",,,is_quarter_final,,False,,stg_bonus__provider_roster;int_bonus__productivity_multiplier;ref_bonus_payout_tiers;fct_provider_metric_history;fct_provider_bonus,,provider_id + snapshot_date,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=2912, null_pk=0, dup=0"
fct_provider_metric_history,models/provider_bonus/facts/fct_provider_metric_history.sql,merge,provider_id;metric_type;metric_subtype;period_type;period_start,"COALESCE(t.met_rate, -1) <> COALESCE(s.met_rate, -1) OR COALESCE(t.met_count, -1) <> COALESCE(s.met_count, -1) OR COALESCE(t.total_records, -1) <> COALESCE(s.total_records, -1)",,,,append_new_columns,False,,fct_provider_bonus_detail;stg_bonus__quality_measures;ref_quality_star_thresholds;stg_bonus__provider_roster;int_bonus__vu_daily,,provider_id + metric_type + metric_subtype + period_type + period_start,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=7133, null_pk=0, dup=0"
fct_quality_measure_snapshot,models/provider_bonus/facts/fct_quality_measure_snapshot.sql,merge,provider_id;patient_id;measure_code;snapshot_date,"t.in_numerator <> s.in_numerator OR t.in_denominator <> s.in_denominator OR COALESCE(t.measure_status, '') <> COALESCE(s.measure_status, '') OR COALESCE(t.exclusion_reason, '') <> COALESCE(s.exclusion_reason, '')",,,,,False,,stg_bonus__quality_measures,,provider_id + patient_id + measure_code + snapshot_date,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=2111724, null_pk=0, dup=0"
fct_raf__blended_patient_summary,models/healthcare/raf/score/facts/fct_raf__blended_patient_summary.sql,merge,patient_id;payment_year,,,,,append_new_columns,False,,fct_raf__score_components;fct_raf__v24_score_components;ref_raf__model_blend_weights,,patient_id + payment_year,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=10958, null_pk=0, dup=0"
fct_raf__claims_reconciliation,models/healthcare/raf/revenue/facts/fct_raf__claims_reconciliation.sql,merge,reconciliation_key,,,,,append_new_columns,False,,int_raf__hierarchy_applied;stg_athena__claim;stg_athena__claim_diagnosis;int_raf__mao004_eligibility,,reconciliation_key (coalesced patient_id+coded_year+hcc_code+diagnosis_code+date_of_service+source_system),,,none_or_unvalidated,correctness_fix_pending_deploy,defect_found,Remediated in correctness wave: merge UK switched to reconciliation_key surrogate over coalesced business keys. Prior: 8499 null UK rows (date_of_service/diagnosis_code). Re-validate after deploy.
fct_raf__monthly_score_snapshots,models/healthcare/raf/score/facts/fct_raf__monthly_score_snapshots.sql,merge,entity_id;account_period;score_lens;run_date,,,,,append_new_columns,False,,ref_raf__monthly_run_windows;ref_raf__data_collection_periods;dim_raf__attribution;int_raf__demographic_factors;int_raf__deduplicated;cms_hcc_v28__icd10_mappings;int_payor__payor_alpha_id_crosswalk;int_raf__payor_alpha_mao_diagnoses;int_payor__uhc_id_crosswalk;int_raf__uhc_mao_diagnoses;cms_hcc_v28__all_coefficients;cms_hcc_v28__hierarchy_exclusions;cms_hcc_v28__diagnostic_categories;cms_hcc_v28__interaction_definitions;cms_hcc_v28__interaction_factors;int_raf__eligibility_segment;ref_raf__normalization_factors;empi_medicare_matches,,entity_id + account_period + score_lens + run_date,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=208812, null_pk=0, dup=0"
fct_raf__monthly_snapshots,models/healthcare/raf/score/facts/fct_raf__monthly_snapshots.sql,merge,patient_id;payment_year;year_month,t.raw_raf_score is distinct from s.raw_raf_score or t.payment_raf_score is distinct from s.payment_raf_score or t.disease_factor is distinct from s.disease_factor or t.interaction_factor is distinct from s.interaction_factor or t.count_factor is distinct from s.count_factor or t.demographic_factor is distinct from s.demographic_factor or t.distinct_hcc_count is distinct from s.distinct_hcc_count or t.is_active is distinct from s.is_active or t.eligibility_segment is distinct from s.eligibility_segment or t.is_year_locked is distinct from s.is_year_locked or t.lock_type is distinct from s.lock_type,,,,append_new_columns,False,,int_raf__scored_hccs;dim_raf__attribution;ref_raf__data_collection_periods;int_raf__demographic_factors,,patient_id + payment_year + year_month,,,none_or_unvalidated,pk_integrity_pass,registry_backfill,Added to satisfy test_incremental_contract_coverage after model became incremental (alert remediation 2026-07-21).
fct_raf__score_components,models/healthcare/raf/score/facts/fct_raf__score_components.sql,merge,entity_id;coded_year,"coalesce(t.eligibility_segment, '') <> coalesce(s.eligibility_segment, '') OR coalesce(t.distinct_hcc_count, -1) <> coalesce(s.distinct_hcc_count, -1) OR coalesce(t.demographic_factor, cast(0 as decimal(18,4))) <> coalesce(s.demographic_factor, cast(0 as decimal(18,4))) OR coalesce(t.disease_factor, cast(0 as decimal(18,4))) <> coalesce(s.disease_factor, cast(0 as decimal(18,4))) OR coalesce(t.interaction_factor, cast(0 as decimal(18,4))) <> coalesce(s.interaction_factor, cast(0 as decimal(18,4))) OR coalesce(t.count_factor, cast(0 as decimal(18,4))) <> coalesce(s.count_factor, cast(0 as decimal(18,4))) OR coalesce(t.raw_raf_score, cast(0 as decimal(18,4))) <> coalesce(s.raw_raf_score, cast(0 as decimal(18,4))) OR coalesce(t.age, -1) <> coalesce(s.age, -1) OR coalesce(t.sex_code, '') <> coalesce(s.sex_code, '') OR coalesce(t.age_band, '') <> coalesce(s.age_band, '') OR coalesce(t.hcc_details, '') <> coalesce(s.hcc_details, '') OR coalesce(t.model_version, '') <> coalesce(s.model_version, '')",,,,append_new_columns,False,,ref_raf__data_collection_periods;int_raf__scored_hccs;int_raf__demographic_factors;int_raf__interaction_factors;int_raf__count_factors,,entity_id + coded_year,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=11130, null_pk=0, dup=0"
gold_appointment_supplement,models/healthcare/raf/capture/gold/gold_appointment_supplement.sql,merge,patient_id;appointment_id,"coalesce(t.appointment_status, '') <> coalesce(s.appointment_status, '') OR coalesce(t.visit_status, '') <> coalesce(s.visit_status, '') OR coalesce(t.appointment_type_name, '') <> coalesce(s.appointment_type_name, '') OR coalesce(t.has_hcc_diagnosis, false) <> coalesce(s.has_hcc_diagnosis, false) OR coalesce(t.provider_id, -1) <> coalesce(s.provider_id, -1) OR coalesce(t.department_id, -1) <> coalesce(s.department_id, -1)",,,,append_new_columns,False,,int_patient_code_by_encounter,,patient_id + appointment_id,,,none_or_unvalidated,skipped_empty_upstream,blocked_upstream_empty,"Empty in prod (0 rows). Upstream int_patient_code_by_encounter (raf_intermediate view) is also 0 rows. PK config [patient_id, appointment_id] not testable until upstream populated. Not an incremental config defect."
gold_current_assessment,models/healthcare/raf/capture/gold/gold_current_assessment.sql,merge,patient_id;hcc_code;coded_year,"coalesce(t.assessment_status, '') <> coalesce(s.assessment_status, '') OR coalesce(t.original_status, '') <> coalesce(s.original_status, '') OR coalesce(t.status_priority, -1) <> coalesce(s.status_priority, -1) OR coalesce(t.dismissal_date, date '1900-01-01') <> coalesce(s.dismissal_date, date '1900-01-01') OR coalesce(t.dismissal_reason, '') <> coalesce(s.dismissal_reason, '')",,,,append_new_columns,False,,int_hccassessment,,patient_id + hcc_code + coded_year,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=55631, null_pk=0, dup=0"
gold_demographic_raf,models/healthcare/raf/score/gold/gold_demographic_raf.sql,merge,patient_id;payment_year,t.source_updated_at < s.source_updated_at,,,,append_new_columns,False,,int_raf__demographic_factors;int_patient_supplement;int_raf__eligibility_segment;patients;dim_raf__attribution,,patient_id + payment_year,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=22232, null_pk=0, dup=0"
gold_final_assessment,models/healthcare/raf/capture/gold/gold_final_assessment.sql,merge,patient_id;hcc_code;coded_year,"coalesce(t.final_status, '') <> coalesce(s.final_status, '') OR coalesce(t.original_status, '') <> coalesce(s.original_status, '') OR coalesce(t.dismissal_date, date '1900-01-01') <> coalesce(s.dismissal_date, date '1900-01-01') OR coalesce(t.dismissal_reason, '') <> coalesce(s.dismissal_reason, '') OR coalesce(t.first_visit_date, date '1900-01-01') <> coalesce(s.first_visit_date, date '1900-01-01') OR coalesce(t.provider_id, -1) <> coalesce(s.provider_id, -1) OR coalesce(t.department_id, -1) <> coalesce(s.department_id, -1)",,,,append_new_columns,False,,gold_current_assessment;int_patient_supplement;int_patient_code_by_encounter;stg_elation__visit_note;stg_athena__clinicalencounter,,patient_id + hcc_code + coded_year,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=55631, null_pk=0, dup=0"
gold_navina_raf,models/healthcare/raf/capture/gold/gold_navina_raf.sql,merge,patient_id;icd10_code,"coalesce(t.suggestion_status, '') <> coalesce(s.suggestion_status, '') OR coalesce(t.confidence_score, cast(0 as double)) <> coalesce(s.confidence_score, cast(0 as double)) OR coalesce(t.is_actionable, false) <> coalesce(s.is_actionable, false) OR coalesce(t.is_accepted, false) <> coalesce(s.is_accepted, false) OR coalesce(t.data_source, '') <> coalesce(s.data_source, '') OR coalesce(t.eligibility_segment, '') <> coalesce(s.eligibility_segment, '') OR coalesce(t.demographic_factor, cast(0 as double)) <> coalesce(s.demographic_factor, cast(0 as double)) OR coalesce(t.hcc_coefficient, cast(0 as double)) <> coalesce(s.hcc_coefficient, cast(0 as double)) OR coalesce(t.navina_raf_score, cast(0 as double)) <> coalesce(s.navina_raf_score, cast(0 as double))",,,,append_new_columns,False,,stg_navina__suggestions;stg_navina__provider_code_level_live;int_raf__demographic_factors;int_raf__eligibility_segment;cms_hcc_v28__all_coefficients,,patient_id + icd10_code,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=38770, null_pk=0, dup=0"
gold_pending_claims_raf,models/healthcare/raf/capture/gold/gold_pending_claims_raf.sql,merge,claim_id;diagnosis_code;hcc_code,,,,,,False,,int_claim_info;stg_athena__claim_diagnosis;stg_athena__hccicdcodeall;int_raf__demographic_factors;int_raf__eligibility_segment;cms_hcc_v28__all_coefficients,,claim_id + diagnosis_code + hcc_code,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=302, null_pk=0, dup=0"
gold_suggestion_raf,models/healthcare/raf/capture/gold/gold_suggestion_raf.sql,merge,patient_id;hcc_code;coded_year,"coalesce(t.status, '') <> coalesce(s.status, '') OR coalesce(t.eligibility_segment, '') <> coalesce(s.eligibility_segment, '') OR coalesce(t.demographic_factor, cast(0 as double)) <> coalesce(s.demographic_factor, cast(0 as double)) OR coalesce(t.hcc_coefficient, cast(0 as double)) <> coalesce(s.hcc_coefficient, cast(0 as double)) OR coalesce(t.suggestion_raf_score, cast(0 as double)) <> coalesce(s.suggestion_raf_score, cast(0 as double)) OR coalesce(t.provider_id, -1) <> coalesce(s.provider_id, -1)",,,,append_new_columns,False,,gold_final_assessment;int_raf__demographic_factors;int_raf__eligibility_segment;cms_hcc_v28__all_coefficients,,patient_id + hcc_code + coded_year,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=55631, null_pk=0, dup=0"
gold_suggestion_with_appt,models/healthcare/raf/capture/gold/gold_suggestion_with_appt.sql,merge,suggestion_id,"coalesce(t.status, '') <> coalesce(s.status, '') OR coalesce(t.eligibility_segment, '') <> coalesce(s.eligibility_segment, '') OR coalesce(t.demographic_factor, cast(0 as double)) <> coalesce(s.demographic_factor, cast(0 as double)) OR coalesce(t.hcc_coefficient, cast(0 as double)) <> coalesce(s.hcc_coefficient, cast(0 as double)) OR coalesce(t.suggestion_raf_score, cast(0 as double)) <> coalesce(s.suggestion_raf_score, cast(0 as double)) OR coalesce(t.appointment_id, -1) <> coalesce(s.appointment_id, -1) OR coalesce(t.appointment_status, '') <> coalesce(s.appointment_status, '') OR coalesce(t.has_appointment_match, false) <> coalesce(s.has_appointment_match, false) OR coalesce(t.has_hcc_diagnosis, false) <> coalesce(s.has_hcc_diagnosis, false)",,,,append_new_columns,False,,gold_suggestion_raf;gold_appointment_supplement,,suggestion_id,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=55313, null_pk=0, dup=0"
heartwise,models/facts/heartwise.sql,merge,patient_id,t.source_updated_at < s.source_updated_at,,,,append_new_columns,False,,patient_identity;vw_heartwise_candidates,,patient_id,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=392, null_pk=0, dup=0"
hist_patient_status_monthly,models/historical/hist_patient_status_monthly.sql,merge,patient_id;status_month,t.computed_status <> s.computed_status OR t.status_reason <> s.status_reason,,,,append_new_columns,False,,stg_mdm__patient;patient;appointment;patientaudit,,patient_id + status_month,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=377980, null_pk=0, dup=0"
insurance_plans,models/dimensions/insurance_plans.sql,merge,insurance_package_id,t.last_updated_at < s.last_updated_at,,,,append_new_columns,False,,stg_mdm__insurance,,insurance_package_id,,,none_or_unvalidated,pk_integrity_pass,pk_validated,"prod PK integrity OK: rows=411, null_pk=0, dup=0"
