name,source_mart,date_column,agg,sum_column,rate_num,rate_denom,rate_scale,label,description
sf_mddo_eligible_count,marts_bi_v3.mart_attribution_detail,,count_distinct,sf_mddo_eligible_aid,,,100,MD/DO Eligible,Count of active Original Medicare patients eligible for a qualifying MD/DO visit this year.
sf_mddo_scheduled_2026_count,marts_bi_v3.mart_attribution_detail,,count_distinct,sf_mddo_scheduled_2026_aid,,,100,MD/DO Scheduled 2026,Count of Original Medicare patients with a qualifying MD/DO visit scheduled for 2026 per Salesforce status.
sf_mddo_scheduled_2027_count,marts_bi_v3.mart_attribution_detail,,count_distinct,sf_mddo_scheduled_2027_aid,,,100,MD/DO Scheduled 2027,Count of Original Medicare patients with a qualifying MD/DO visit scheduled for 2027 per Salesforce status.
sf_mddo_scheduled_count,marts_bi_v3.mart_attribution_detail,,count_distinct,sf_mddo_scheduled_2026_aid,,,100,MD/DO Scheduled 2026,DEPRECATED alias of sf_mddo_scheduled_2026_count (pinned to 2026 and will NOT roll forward). Use the year-explicit metric in new charts.
total_medicare_count,marts_bi_v3.mart_attribution_detail,,count_distinct,total_medicare_aid,,,100,Total Medicare,Count of unique attributed patients with any Medicare coverage (Original Medicare or Medicare Advantage).
attributed_at_risk,marts_bi_v3.mart_attribution_operations,,count_distinct,seg_at_risk_pid,,,100,Attributed - At Risk,Attributed patients in the At Risk engagement segment (declining engagement signals).
attributed_engaged,marts_bi_v3.mart_attribution_operations,,count_distinct,seg_engaged_pid,,,100,Attributed - Engaged,Attributed patients in the Engaged segment (active recent engagement signals).
attributed_needs_work,marts_bi_v3.mart_attribution_operations,,count_distinct,seg_needs_work_pid,,,100,Attributed - Needs Work,Attributed patients in the Needs Work segment (engagement gap requiring outreach).
avg_effort_gap,marts_bi_v3.mart_attribution_operations,,avg,effort_gap_num,,,100,Avg Effort Gap,Average gap between effort score and success score across the attributed population — higher values indicate unrewarded outreach investment.
avg_effort_score,marts_bi_v3.mart_attribution_operations,,avg,effort_score,,,100,Avg Effort Score,Average effort score across the attributed population reflecting clinical and operational investment in patient engagement.
avg_success_score,marts_bi_v3.mart_attribution_operations,,avg,success_score,,,100,Avg Success Score,"Average success score across the attributed population — composite of engagement, AWV, and visit-cadence outcomes."
awv_completed,marts_bi_v3.mart_attribution_operations,,count_distinct,awv_completed_pid,,,100,AWV Completed,Attributed patients with an AWV completed in the current calendar year.
awv_eligible,marts_bi_v3.mart_attribution_operations,,count_distinct,awv_eligible_pid,,,100,AWV Eligible,Count of unique attributed patients eligible for an Annual Wellness Visit.
awv_scheduled,marts_bi_v3.mart_attribution_operations,,count_distinct,awv_scheduled_pid,,,100,AWV Scheduled,Attributed patients with a scheduled but not yet completed AWV this year.
gaining_in_progress,marts_bi_v3.mart_attribution_operations,,count_distinct,seg_gaining_pid,,,100,Gaining - In Progress,Attributed patients trending toward the Engaged segment based on recent positive engagement signals.
lost_despite_effort,marts_bi_v3.mart_attribution_operations,,count_distinct,seg_lost_effort_pid,,,100,Lost - Despite Effort,Attributed patients lost from the roster despite documented outreach effort.
lost_no_effort,marts_bi_v3.mart_attribution_operations,,count_distinct,seg_lost_no_effort_pid,,,100,Lost - No Effort,Attributed patients lost from the roster with no documented outreach effort.
mddo_completed,marts_bi_v3.mart_attribution_operations,,count_distinct,mddo_completed_pid,,,100,MDDO Completed,Attributed patients with a completed qualifying MD/DO visit this year.
mddo_eligible,marts_bi_v3.mart_attribution_operations,,count_distinct,mddo_eligible_pid,,,100,MDDO Eligible,Count of unique attributed patients eligible for a qualifying MD/DO visit.
mddo_scheduled,marts_bi_v3.mart_attribution_operations,,count_distinct,mddo_scheduled_pid,,,100,MDDO Scheduled,Attributed patients with a scheduled but not yet completed qualifying MD/DO visit this year.
off_roster,marts_bi_v3.mart_attribution_operations,,count_distinct,off_roster_pid,,,100,Off Roster,Attributed patients not currently appearing on any payor roster file.
on_roster,marts_bi_v3.mart_attribution_operations,,count_distinct,on_roster_pid,,,100,On Roster,Count of attributed patients currently confirmed on a payor roster file.
truly_lost_count,marts_bi_v3.mart_attribution_operations,,count_distinct,truly_lost_pid,,,100,Truly Lost,Attributed patients removed from all payor rosters with no concurrent re-attribution. Mirrors truly_lost_patients in mart_attribution_timeline.
voluntary_attributed_count,marts_bi_v3.mart_attribution_operations,,count_distinct,voluntary_attributed_pid,,,100,Voluntary Attributed,Count of patients voluntarily aligned to Healthcare Org under a value-based care contract.
attribution_unique_patients,marts_bi_v3.mart_attribution_timeline,,count_distinct,patient_id,,,100,Unique Patients,"Count of unique patients with an attribution record in the selected period. NOT the canonical Active Patient definition (548-day rule); this counts attribution presence only. Renamed from attribution_active_patients to remove the misleading ""active"" implication."
attribution_active_patients,marts_bi_v3.mart_attribution_timeline,,count_distinct,patient_id,,,100,Unique Patients,DEPRECATED back-compat alias of attribution_unique_patients (identical definition). Retained only so existing saved specs/dashboards do not break at runtime; migrate to attribution_unique_patients and remove after consumers are updated.
avg_tenure_months,marts_bi_v3.mart_attribution_timeline,,avg,consecutive_months,,,100,Avg Tenure (months),Average consecutive months a patient has remained attributed to Healthcare Org without a gap.
dual_attributed_patients,marts_bi_v3.mart_attribution_timeline,,count_distinct,dual_attributed_pid,,,100,Dual Attributed,Count of patients attributed to two or more payors in the same month.
gained_patients,marts_bi_v3.mart_attribution_timeline,,count_distinct,gained_pid,,,100,Gained,Patients newly attributed to Healthcare Org in the selected period (first appearance on a payor roster).
lost_patients,marts_bi_v3.mart_attribution_timeline,,count_distinct,lost_pid,,,100,Lost,Patients dropped from at least one payor roster in the selected period (may still be attributed elsewhere — see truly_lost_patients).
retained_patients,marts_bi_v3.mart_attribution_timeline,,count_distinct,retained_pid,,,100,Retained,Patients attributed in both the previous and current period on the same payor.
shifted_patients,marts_bi_v3.mart_attribution_timeline,,count_distinct,shifted_pid,,,100,Shifted,Count of patients who shifted from one attributed payor to another in the selected period.
total_rows,marts_bi_v3.mart_attribution_timeline,,count,,,,100,Total Rows,"Row count of the attribution timeline mart for the selected period — diagnostic, not a business KPI."
truly_lost_patients,marts_bi_v3.mart_attribution_timeline,,count_distinct,truly_lost_pid,,,100,Truly Lost,Count of patients removed from all rosters with no concurrent re-attribution to another payor.
avg_cocm_minutes,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,avg,cocm_minutes_current_month,,,100,Avg COCM Minutes,Average CoCM minutes logged per behavioral health patient in the current billing month.
avg_gad_latest,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,avg,latest_gad_score,,,100,Avg Latest GAD,Average of each BH panel patient's most recent GAD-7 anxiety screening score.
avg_phq_latest,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,avg,latest_phq_score,,,100,Avg Latest PHQ,Average of each BH panel patient's most recent PHQ-9 depression screening score.
gad_assessed_count,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,count_distinct,gad_assessed_pid,,,100,GAD Assessed Count,BH panel patients with a current GAD-7 anxiety screening score on record.
gad_clinically_significant,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,count_distinct,gad_significant_pid,,,100,GAD Clinically Significant,"BH patients with a baseline GAD-7 score of 5 or higher, indicating clinically significant anxiety."
gad_remission_count,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,count_distinct,gad_remission_pid,,,100,GAD Remission Count,Clinically significant GAD patients (baseline >= 5) whose latest GAD-7 score is below 5 (remission).
gad_response_count,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,count_distinct,gad_response_pid,,,100,GAD Response Count,Clinically significant GAD patients (baseline >= 5) with at least a 50% score reduction from baseline (response).
panel_size,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,count_distinct,patient_id,,,100,Panel Size,Total distinct patients on the active behavioral health panel with at least one completed BH visit.
panel_size_current,marts_bi_v3.mart_behavioral_health,,count_distinct,patient_id,,,100,Active BH Panel (Current),Total distinct patients currently on the active BH panel (is_active_bh_panel = true). Timeless snapshot — ignores dashboard date range so cards always show the true current panel size including patients not seen in the selected window.
patients_no_next_appt,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,count_distinct,no_next_pid,,,100,Patients With No Next Appointment,"BH patients without a future behavioral health appointment scheduled, indicating potential treatment drop-off."
patients_with_care_plan,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,count_distinct,care_plan_pid,,,100,Patients With Care Plan,Active BH panel patients with an active CM care plan (Longitudinal or Behavioral) and at least one logged care event (cmcareevent). Legacy Behavioral-only plan flag remains on has_bh_care_plan.
pct_gad_assessed,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,rate_distinct,,gad_assessed_pid,patient_id,100,GAD Assessed %,Percentage of BH panel patients with a current GAD-7 anxiety screening score on record.
pct_phq_assessed,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,rate_distinct,,phq_assessed_pid,patient_id,100,PHQ Assessed %,Percentage of BH panel patients with a current PHQ-9 depression screening score on record.
phq_assessed_count,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,count_distinct,phq_assessed_pid,,,100,PHQ Assessed Count,BH panel patients with a current PHQ-9 depression screening score on record.
phq_clinically_significant,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,count_distinct,phq_significant_pid,,,100,PHQ Clinically Significant,"BH patients with a baseline PHQ-9 score of 5 or higher, indicating clinically significant depression."
phq_remission_count,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,count_distinct,phq_remission_pid,,,100,PHQ Remission Count,"BH patients whose most recent PHQ-9 score is below 5, indicating clinical remission from depression."
phq_response_count,marts_bi_v3.mart_behavioral_health,last_bh_visit_date,count_distinct,phq_response_pid,,,100,PHQ Response Count,Clinically significant PHQ patients (baseline >= 5) with at least a 50% score reduction from baseline (response).
bh_no_show_rate,marts_bi_v3.mart_bh_scheduling_capacity,week_start,rate,,no_show_int,one,100,BH No-Show Rate %,Behavioral health slot no-show rate. Numerator: BH slots with slot_category = 'No Show' (cancelled at or after the appointment date). Denominator: all BH slots. Multiplied by 100 for percent display. Target below 10%.
cancelled_slots,marts_bi_v3.mart_bh_scheduling_capacity,week_start,sum,cancelled_int,,,100,Cancelled Slots,BH slots where the appointment was cancelled (slot_category = Cancelled).
completed_slots,marts_bi_v3.mart_bh_scheduling_capacity,week_start,sum,completed_int,,,100,Completed Slots,BH slots where the appointment was completed (checked in / checked out / charge entered).
fill_rate,marts_bi_v3.mart_bh_scheduling_capacity,week_start,rate,,completed_int,one,100,Fill %,Completed BH slots as a share of all BH slots. Measures provider schedule utilization.
never_filled_slots,marts_bi_v3.mart_bh_scheduling_capacity,week_start,sum,never_filled_int,,,100,Never Filled Slots,BH slots that were never booked (slot_category = Never Filled).
no_show_slots,marts_bi_v3.mart_bh_scheduling_capacity,week_start,sum,no_show_int,,,100,No Show Slots,BH slots where the patient was a no-show (slot_category = No Show).
scheduled_slots,marts_bi_v3.mart_bh_scheduling_capacity,week_start,sum,scheduled_int,,,100,Scheduled Slots,BH slots that are booked and not cancelled (slot_category = Scheduled).
total_slots,marts_bi_v3.mart_bh_scheduling_capacity,week_start,count,,,,100,Total Slots,All BH appointment slots in the mart regardless of outcome.
utilization_pct,marts_bi_v3.mart_bh_scheduling_capacity,week_start,rate,,utilized_int,one,100,Utilization %,Filled or ever-booked BH slots as a share of all BH slots. Broader capacity usage measure.
acceptance_rate,marts_bi_v3.mart_hcc_assessment,encounter_date,rate,,accepted_int,one,100,Acceptance %,Accepted HCC suggestions as a percentage of all actionable suggestions reviewed at the encounter.
accepted_count,marts_bi_v3.mart_hcc_assessment,encounter_date,sum,accepted_int,,,100,Accepted,Number of HCC code suggestions accepted by the provider at the point of documentation.
accepted_hcc_value,marts_bi_v3.mart_hcc_assessment,encounter_date,sum,accepted_hcc_value_num,,,100,Accepted HCC Value,Sum of CMS RAF coefficients across HCC code suggestions accepted by the provider in the selected period.
actionable_suggestions,marts_bi_v3.mart_hcc_assessment,encounter_date,sum,actionable_int,,,100,Actionable Suggestions,HCC code suggestions in an actionable state (excludes system-excluded and held). Denominator for acceptance_rate and assessment_rate.
assessed_count,marts_bi_v3.mart_hcc_assessment,encounter_date,sum,assessed_int,,,100,Assessed,"HCC code suggestions reviewed and assessed by the provider (any decision: accepted, dismissed, or marked as gap)."
assessment_rate,marts_bi_v3.mart_hcc_assessment,encounter_date,rate,,assessed_int,actionable_int,100,Assessment %,Assessed HCC suggestions as a percentage of all actionable suggestions presented to providers.
dismissed_count,marts_bi_v3.mart_hcc_assessment,encounter_date,sum,dismissed_int,,,100,Dismissed,HCC code suggestions explicitly dismissed by the provider during documentation.
distinct_hcc_codes,marts_bi_v3.mart_hcc_assessment,encounter_date,count_distinct,hcc_code,,,100,Distinct HCC Codes,Distinct HCC code values appearing in suggestions across the selected period.
gap_count,marts_bi_v3.mart_hcc_assessment,encounter_date,sum,gap_int,,,100,Gap,HCC codes that were suggested but not addressed by the provider (status = NOT ADDRESSED).
gap_rate,marts_bi_v3.mart_hcc_assessment,encounter_date,rate,,gap_int,one,100,Gap %,Suggestions left unaddressed (NOT ADDRESSED status) as a percentage of all actionable suggestions.
held_count,marts_bi_v3.mart_hcc_assessment,encounter_date,sum,held_int,,,100,Held,HCC code suggestions placed in a held / pending state pending further review.
pending_closed_count,marts_bi_v3.mart_hcc_assessment,encounter_date,sum,pending_closed_int,,,100,Pending Closure,HCC code suggestions awaiting encounter closure before final disposition.
recapture_candidates,marts_bi_v3.mart_hcc_assessment,encounter_date,sum,recapture_candidate_int,,,100,Recapture Candidates,HCC code suggestions eligible for recapture (previously documented chronic conditions). Denominator for recapture_rate.
recapture_count,marts_bi_v3.mart_hcc_assessment,encounter_date,sum,recapture_int,,,100,Recapture Accepted,Recapture-eligible HCC suggestions accepted by the provider in this encounter.
recapture_rate,marts_bi_v3.mart_hcc_assessment,encounter_date,rate,,recapture_int,recapture_candidate_int,100,Recapture %,Accepted recapture suggestions as a percentage of all recapture-eligible HCC suggestions.
system_excluded_count,marts_bi_v3.mart_hcc_assessment,encounter_date,sum,system_excluded_int,,,100,System Excluded,HCC code suggestions automatically excluded by the system (e.g. patient-level exclusion rules) — never presented to the provider.
total_hcc_value,marts_bi_v3.mart_hcc_assessment,encounter_date,sum,hcc_coefficient,,,100,Total HCC Value,Sum of CMS RAF coefficients across all HCC code suggestions (any disposition) in the selected period.
total_suggestions,marts_bi_v3.mart_hcc_assessment,encounter_date,count,,,,100,Total Suggestions,Total VendorNav AI HCC code suggestions presented to providers across all encounters.
avg_coder_acceptance_rate,marts_bi_v3.mart_hcc_coder_contribution,encounter_date,avg,coder_acceptance_rate,,,100,Avg Coder Acceptance Rate,Average fraction of HCC suggestions accepted per coder scrub measuring coder-level coding efficiency.
total_hcc_autogenerated,marts_bi_v3.mart_hcc_coder_contribution,encounter_date,sum,hcc_autogenerated_int,,,100,Total HCC Auto-generated,Total visits where VendorNav AI auto-generated at least one HCC code suggestion for the coder to review.
total_hcc_manual,marts_bi_v3.mart_hcc_coder_contribution,encounter_date,sum,hcc_added_manually_int,,,100,Total HCC Manual,Total visits where the coder manually added at least one HCC code beyond the auto-generated suggestions.
total_scrubs,marts_bi_v3.mart_hcc_coder_contribution,encounter_date,count,,,,100,Total Scrubs,Total coder scrub events performed across all visit-coder combinations.
avg_acceptance_rate,marts_bi_v3.mart_hcc_provider_contribution,encounter_date,avg,acceptance_rate,,,100,Avg Acceptance Rate,Average fraction of HCC suggestions accepted per provider visit pre-calculated from the source view.
avg_suggestions_per_visit,marts_bi_v3.mart_hcc_provider_contribution,encounter_date,avg,total_suggestions,,,100,Avg Suggestions / Visit,Average number of HCC code suggestions presented per provider visit in the selected period.
review_rate,marts_bi_v3.mart_hcc_provider_contribution,encounter_date,rate,,reviewed_int,one,100,Review %,Percentage of provider visits where HCC suggestions were reviewed before documentation was closed.
reviewed_visits,marts_bi_v3.mart_hcc_provider_contribution,encounter_date,sum,reviewed_int,,,100,Reviewed Visits,Provider visits where HCC suggestions were reviewed before documentation was closed. Numerator for review_rate.
total_accepted,marts_bi_v3.mart_hcc_provider_contribution,encounter_date,sum,accepted_count,,,100,Total Accepted,Total HCC code suggestions accepted across all provider visits in the selected period.
total_hcc_value_captured,marts_bi_v3.mart_hcc_provider_contribution,encounter_date,sum,hcc_value_captured,,,100,Total HCC Value Captured,Sum of CMS Risk Adjustment Factor (RAF) coefficients from all accepted HCC suggestions.
total_not_addressed,marts_bi_v3.mart_hcc_provider_contribution,encounter_date,sum,not_addressed_count,,,100,Total Not Addressed,Total HCC code suggestions left unaddressed (NOT ADDRESSED status) across all provider visits.
total_visits,marts_bi_v3.mart_hcc_provider_contribution,encounter_date,count,,,,100,Total Visits,Total provider visits with at least one HCC suggestion presented.
activation_rate,marts_bi_v3.mart_membership,,rate_distinct,,active_member_aid,membership_activated_aid,100,Activation Rate %,kpi_membership_active accounts as a share of all Membership-activated accounts. Measures funnel conversion after signup.
active_member_count,marts_bi_v3.mart_membership,,count_distinct,journey_active_member_aid,,,100,Active Member (Funnel),Count of accounts at journey stage 4 (Active Member) in the membership FUNNEL. NOT the canonical Active Members count — use active_members for that.
active_members,marts_bi_v3.mart_membership,,count_distinct,active_member_aid,,,100,Active Members,Canonical Active Members: active under the BackendBaaS legacy or Membership paying authority contract and canonically an Active patient.
active_members_raw,marts_bi_v3.mart_membership,,count_distinct,active_member_raw_aid,,,100,Active Members (Systems Raw),Dual-authority active members with no patient-status gate. Diff vs active_members is the patient-status reconciliation queue.
attrition_count,marts_bi_v3.mart_membership,,count_distinct,attrition_aid,,,100,Attrition Count,Accounts that became Declined or Inactive after activating (had a Membership member-since date).
attrition_rate,marts_bi_v3.mart_membership,,rate_distinct,,attrition_aid,membership_activated_aid,100,Attrition Rate %,Members who declined or went inactive after signing an agreement as a share of all activated accounts.
contract_signed_count,marts_bi_v3.mart_membership,,count_distinct,journey_contract_signed_aid,,,100,Contract Signed,Accounts at journey stage 3 (Contract Signed) or above in the membership funnel.
converted_leads,marts_bi_v3.mart_membership,,count_distinct,converted_lead_id,,,100,Converted Leads,Distinct leads that converted into a Membership-activated membership account.
declined_count,marts_bi_v3.mart_membership,,count_distinct,declined_aid,,,100,Declined,Accounts with Declined enrollment status that previously had a Membership member since date.
eligible_count,marts_bi_v3.mart_membership,,count_distinct,journey_eligible_aid,,,100,Eligible,Accounts at journey stage 1 (Eligible) or above in the membership funnel.
established_members,marts_bi_v3.mart_membership,,count_distinct,established_aid,,,100,Established Members,kpi_membership_active members enrolled before the current measurement period (Established category).
inactive_member_count,marts_bi_v3.mart_membership,,count_distinct,inactive_member_aid,,,100,Inactive Members,Accounts in Inactive Member enrollment status that previously had a Membership member-since date.
lead_conversion_rate,marts_bi_v3.mart_membership,,rate_distinct,,net_new_converted_lead_id,net_new_lead_id_nn,100,Lead Conversion %,Converted Net New leads as a share of all Net New leads. Measures lead-to-member conversion.
leads_count,marts_bi_v3.mart_membership,,count_distinct,lead_id_nn,,,100,Leads,Distinct lead records in the membership funnel for the selected period.
net_new_members,marts_bi_v3.mart_membership,,count_distinct,netnew_aid,,,100,Net New Members,Members classified as Net New (enrolled after the membership program launch date).
not_eligible_count,marts_bi_v3.mart_membership,,count_distinct,not_eligible_aid,,,100,Not Eligible,Accounts evaluated for membership and determined ineligible.
prospect_scheduling_rate,marts_bi_v3.mart_membership,,rate_distinct,,scheduled_prospect_aid,prospect_aid,100,Prospect Scheduling %,Scheduled prospects as a share of all prospects. Measures early-funnel scheduling success.
prospects,marts_bi_v3.mart_membership,,count_distinct,prospect_aid,,,100,Prospects,Accounts in Prospect member_type (engaged but not yet contracted). Denominator for prospect_scheduling_rate.
scheduled_prospects,marts_bi_v3.mart_membership,,count_distinct,scheduled_prospect_aid,,,100,Scheduled Prospects,Prospects with a scheduled appointment (member_type = Prospect - Scheduled).
total_completed_appointments,marts_bi_v3.mart_membership,,sum,completed_appointment_count,,,100,Completed Appointments,Sum of completed appointment counts across membership accounts in the selected period.
total_future_appointments,marts_bi_v3.mart_membership,,sum,future_appointment_count,,,100,Future Appointments,Sum of future (scheduled) appointment counts across membership accounts as of the selected period.
total_members,marts_bi_v3.mart_membership,,count_distinct,membership_activated_aid,,,100,Total Members,All accounts with a Membership member since date regardless of current enrollment status.
unscheduled_prospects,marts_bi_v3.mart_membership,,count_distinct,unscheduled_prospect_aid,,,100,Unscheduled Prospects,Prospects without a scheduled appointment (member_type = Prospect - Member).
active_members_eom,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,active_members_eom,,,1,Active Members (EOM),Members in Active Member or Active Member - Waived enrollment status at month-end.
annual_plan_active_members,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,annual_plan_active_members_eom,,,1,Annual Plan Active Members,Active members on annual cadence plans (membership_plan_rate_cents in 8333 or 9900).
annual_renewal_eligible_members_eom,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,annual_renewal_eligible_members_eom,,,1,Annual Renewal Eligible Members,Active Annual-plan members with 12+ months of tenure (renewal-eligible window).
annual_renewed_members_eom,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,annual_renewed_members_eom,,,1,Annual Renewed Members,Renewed Annual-plan members in the same eligible window.
avg_age_eom,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,avg_age_eom,,,1,Avg Age (EOM),Average age of members in the panel at month-end.
avg_days_since_visit_eom,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,avg_days_since_visit_eom,,,1,Avg Days Since Visit (EOM),Average days since the members last completed visit at month-end.
churned_paying_eom,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,churned_paying_eom,,,1,Churned Paying Members,Paying or Converted members whose Salesforce Account flipped to non-Active this month.
converted_members_eom,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,converted_members_eom,,,1,Converted Members (EOM),Members who transitioned Grandmothered to Paying (sticky once converted).
declined_eom,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,declined_eom,,,1,Declined (EOM),Members who declined after program start.
established_members_eom,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,established_members_eom,,,1,Established Members (EOM),Members classified as Established (pre-program-launch patients converted) at month-end.
gm_members_eom,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,gm_members_eom,,,1,Grandmothered Members (EOM),Members in payment_status_resolved = Grandmothered Member at month-end.
inactive_members_eom,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,inactive_members_eom,,,1,Inactive Members (EOM),Members in Inactive Member enrollment with a prior Membership agreement.
membership_active_member_population,marts_bi_v3.mart_membership_kpis_monthly,period_start,sum,membership_active_member_population,,,1,Active Member Population (Visits),Distinct patients flagged as active members (denominator for visit utilization rates).
membership_annual_plan_pct,marts_bi_v3.mart_membership_kpis_monthly,period_start,rate_latest,,annual_plan_active_members_eom,active_members_eom,100,Annual Plan %,Share of active members on annual cadence plans.
